title,image,price,availability,categories,tags,description
Metapod,https://scrapeme.live/wp-content/uploads/2018/08/011.png,148.00,285,"Cocoon, Pokemon","Cocoon, metapod, Shed Skin",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
Butterfree,https://scrapeme.live/wp-content/uploads/2018/08/012.png,162.00,242,"Butterfly, Pokemon","Butterfly, butterfree, Compound Eyes","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
Weedle,https://scrapeme.live/wp-content/uploads/2018/08/013.png,25.00,65,"Hairy Bug, Pokemon","Hairy Bug, Shield Dust, weedle",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
Kakuna,https://scrapeme.live/wp-content/uploads/2018/08/014.png,148.00,260,"Cocoon, Pokemon","Cocoon, kakuna, Shed Skin","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
Beedrill,https://scrapeme.live/wp-content/uploads/2018/08/015.png,168.00,125,"Poison Bee, Pokemon","beedrill, Poison Bee, Swarm","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
Pidgey,https://scrapeme.live/wp-content/uploads/2018/08/016.png,159.00,175,"Pokemon, Tiny Bird","Keen Eye, pidgey, Tiny Bird","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
Pidgeotto,https://scrapeme.live/wp-content/uploads/2018/08/017.png,84.00,120,"Bird, Pokemon","Bird, Keen Eye, pidgeotto","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
Pidgeot,https://scrapeme.live/wp-content/uploads/2018/08/018.png,185.00,90,"Bird, Pokemon","Bird, Keen Eye, pidgeot","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
Rattata,https://scrapeme.live/wp-content/uploads/2018/08/019.png,128.00,16,"Mouse, Pokemon","Mouse, rattata, Run Away","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
Raticate,https://scrapeme.live/wp-content/uploads/2018/08/020.png,60.00,204,"Mouse, Pokemon","Mouse, raticate, Run Away","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
Spearow,https://scrapeme.live/wp-content/uploads/2018/08/021.png,133.00,46,"Pokemon, Tiny Bird","Keen Eye, spearow, Tiny Bird","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
Fearow,https://scrapeme.live/wp-content/uploads/2018/08/022.png,95.00,276,"Beak, Pokemon","Beak, fearow, Keen Eye",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
Ekans,https://scrapeme.live/wp-content/uploads/2018/08/023.png,55.00,120,"Pokemon, Snake","ekans, Shed Skin, Snake",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
Arbok,https://scrapeme.live/wp-content/uploads/2018/08/024.png,182.00,248,"Cobra, Pokemon","arbok, Cobra, Shed Skin","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible."
Pikachu,https://scrapeme.live/wp-content/uploads/2018/08/025.png,37.00,254,"Mouse, Pokemon","Mouse, pikachu, Static",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
Raichu,https://scrapeme.live/wp-content/uploads/2018/08/026.png,140.00,215,"Mouse, Pokemon","Mouse, raichu, Static",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
Sandshrew,https://scrapeme.live/wp-content/uploads/2018/08/027.png,82.00,100,"Mouse, Pokemon","Mouse, Sand Veil, sandshrew","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep."
Sandslash,https://scrapeme.live/wp-content/uploads/2018/08/028.png,155.00,236,"Mouse, Pokemon","Mouse, Sand Veil, sandslash","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws."
Nidorina,https://scrapeme.live/wp-content/uploads/2018/08/030.png,28.00,58,"Poison Pin, Pokemon","nidorina, Poison Pin, Poison Point","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others."
Nidoqueen,https://scrapeme.live/wp-content/uploads/2018/08/031.png,106.00,153,"Drill, Pokemon","Drill, nidoqueen, Poison Point",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.
Nidorino,https://scrapeme.live/wp-content/uploads/2018/08/033.png,179.00,279,"Poison Pin, Pokemon","nidorino, Poison Pin, Poison Point","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might."
Nidoking,https://scrapeme.live/wp-content/uploads/2018/08/034.png,31.00,178,"Drill, Pokemon","Drill, nidoking, Poison Point","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it."
Clefairy,https://scrapeme.live/wp-content/uploads/2018/08/035.png,160.00,86,"Fairy, Pokemon","clefairy, Cute Charm, Fairy","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
Clefable,https://scrapeme.live/wp-content/uploads/2018/08/036.png,188.00,23,"Fairy, Pokemon","clefable, Cute Charm, Fairy","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
Vulpix,https://scrapeme.live/wp-content/uploads/2018/08/037.png,85.00,268,"Fox, Pokemon","Flash Fire, Fox, vulpix","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot."
Ninetales,https://scrapeme.live/wp-content/uploads/2018/08/038.png,52.00,215,"Fox, Pokemon","Flash Fire, Fox, ninetales",Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.
Jigglypuff,https://scrapeme.live/wp-content/uploads/2018/08/039.png,61.00,136,"Balloon, Pokemon","Balloon, Cute Charm, jigglypuff","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life."
Wigglytuff,https://scrapeme.live/wp-content/uploads/2018/08/040.png,130.00,260,"Balloon, Pokemon","Balloon, Cute Charm, wigglytuff","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon."
Zubat,https://scrapeme.live/wp-content/uploads/2018/08/041.png,125.00,154,"Bat, Pokemon","Bat, Inner Focus, zubat","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
Golbat,https://scrapeme.live/wp-content/uploads/2018/08/042.png,136.00,52,"Bat, Pokemon","Bat, golbat, Inner Focus","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon."
Oddish,https://scrapeme.live/wp-content/uploads/2018/08/043.png,45.00,296,"Pokemon, Weed","Chlorophyll, oddish, Weed","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees."
Gloom,https://scrapeme.live/wp-content/uploads/2018/08/044.png,178.00,74,"Pokemon, Weed","Chlorophyll, gloom, Weed","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
Vileplume,https://scrapeme.live/wp-content/uploads/2018/08/045.png,170.00,283,"Flower, Pokemon","Chlorophyll, Flower, vileplume","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them."
Paras,https://scrapeme.live/wp-content/uploads/2018/08/046.png,168.00,192,"Mushroom, Pokemon","Effect Spore, Mushroom, paras",Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
Parasect,https://scrapeme.live/wp-content/uploads/2018/08/047.png,27.00,17,"Mushroom, Pokemon","Effect Spore, Mushroom, parasect","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
Venonat,https://scrapeme.live/wp-content/uploads/2018/08/048.png,158.00,177,"Insect, Pokemon","Compound Eyes, Insect, venonat","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
Venomoth,https://scrapeme.live/wp-content/uploads/2018/08/049.png,53.00,22,"Poison Moth, Pokemon","Poison Moth, Shield Dust, venomoth","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
Diglett,https://scrapeme.live/wp-content/uploads/2018/08/050.png,122.00,227,"Mole, Pokemon","diglett, Mole, Sand Veil","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
Dugtrio,https://scrapeme.live/wp-content/uploads/2018/08/051.png,111.00,290,"Mole, Pokemon","dugtrio, Mole, Sand Veil","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
Meowth,https://scrapeme.live/wp-content/uploads/2018/08/052.png,131.00,203,"Pokemon, Scratch Cat","meowth, Pickup, Scratch Cat","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light."
Persian,https://scrapeme.live/wp-content/uploads/2018/08/053.png,200.00,108,"Classy Cat, Pokemon","Classy Cat, persian, Technician",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
Psyduck,https://scrapeme.live/wp-content/uploads/2018/08/054.png,182.00,214,"Duck, Pokemon","Damp, Duck, psyduck","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep."
Golduck,https://scrapeme.live/wp-content/uploads/2018/08/055.png,31.00,278,"Duck, Pokemon","Damp, Duck, golduck","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas."
Mankey,https://scrapeme.live/wp-content/uploads/2018/08/056.png,125.00,209,"Pig Monkey, Pokemon","mankey, Pig Monkey, Vital Spirit","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
Primeape,https://scrapeme.live/wp-content/uploads/2018/08/057.png,86.00,68,"Pig Monkey, Pokemon","Pig Monkey, primeape, Vital Spirit","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time."
Growlithe,https://scrapeme.live/wp-content/uploads/2018/08/058.png,30.00,243,"Pokemon, Puppy","growlithe, Intimidate, Puppy","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things."
Arcanine,https://scrapeme.live/wp-content/uploads/2018/08/059.png,69.00,14,"Legendary, Pokemon","arcanine, Intimidate, Legendary","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power."
Poliwag,https://scrapeme.live/wp-content/uploads/2018/08/060.png,174.00,217,"Pokemon, Tadpole","Damp, poliwag, Tadpole","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
Poliwhirl,https://scrapeme.live/wp-content/uploads/2018/08/061.png,121.00,139,"Pokemon, Tadpole","Damp, poliwhirl, Tadpole","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle."
Poliwrath,https://scrapeme.live/wp-content/uploads/2018/08/062.png,152.00,216,"Pokemon, Tadpole","Damp, poliwrath, Tadpole","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort."
Abra,https://scrapeme.live/wp-content/uploads/2018/08/063.png,141.00,116,"Pokemon, Psi","abra, Inner Focus, Psi","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
Kadabra,https://scrapeme.live/wp-content/uploads/2018/08/064.png,129.00,195,"Pokemon, Psi","Inner Focus, kadabra, Psi","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers."
Alakazam,https://scrapeme.live/wp-content/uploads/2018/08/065.png,40.00,142,"Pokemon, Psi","alakazam, Inner Focus, Psi","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
Machop,https://scrapeme.live/wp-content/uploads/2018/08/066.png,166.00,173,"Pokemon, Superpower","Guts, machop, Superpower",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
Machoke,https://scrapeme.live/wp-content/uploads/2018/08/067.png,27.00,10,"Pokemon, Superpower","Guts, machoke, Superpower","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train."
Machamp,https://scrapeme.live/wp-content/uploads/2018/08/068.png,121.00,242,"Pokemon, Superpower","Guts, machamp, Superpower","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon."
Bellsprout,https://scrapeme.live/wp-content/uploads/2018/08/069.png,74.00,257,"Flower, Pokemon","bellsprout, Chlorophyll, Flower","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron."
Weepinbell,https://scrapeme.live/wp-content/uploads/2018/08/070.png,26.00,46,"Flycatcher, Pokemon","Chlorophyll, Flycatcher, weepinbell","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
Victreebel,https://scrapeme.live/wp-content/uploads/2018/08/071.png,68.00,119,"Flycatcher, Pokemon","Chlorophyll, Flycatcher, victreebel","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole."
Tentacool,https://scrapeme.live/wp-content/uploads/2018/08/072.png,186.00,66,"Jellyfish, Pokemon","Clear Body, Jellyfish, tentacool",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.
Tentacruel,https://scrapeme.live/wp-content/uploads/2018/08/073.png,65.00,175,"Jellyfish, Pokemon","Clear Body, Jellyfish, tentacruel",Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.
Geodude,https://scrapeme.live/wp-content/uploads/2018/08/074.png,32.00,77,"Pokemon, Rock","geodude, Rock, Rock Head","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food."
Graveler,https://scrapeme.live/wp-content/uploads/2018/08/075.png,182.00,86,"Pokemon, Rock","graveler, Rock, Rock Head","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom."
Golem,https://scrapeme.live/wp-content/uploads/2018/08/076.png,103.00,151,"Megaton, Pokemon","golem, Megaton, Rock Head","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course."
Ponyta,https://scrapeme.live/wp-content/uploads/2018/08/077.png,53.00,41,"Fire Horse, Pokemon","Fire Horse, ponyta, Run Away",Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
Rapidash,https://scrapeme.live/wp-content/uploads/2018/08/078.png,98.00,194,"Fire Horse, Pokemon","Fire Horse, rapidash, Run Away","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
Slowpoke,https://scrapeme.live/wp-content/uploads/2018/08/079.png,109.00,57,"Dopey, Pokemon","Dopey, Oblivious, slowpoke","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge."
Slowbro,https://scrapeme.live/wp-content/uploads/2018/08/080.png,179.00,289,"Hermit Crab, Pokemon","Hermit Crab, Oblivious, slowbro","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead."
Magnemite,https://scrapeme.live/wp-content/uploads/2018/08/081.png,100.00,16,"Magnet, Pokemon","magnemite, Magnet, Sturdy",Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.
Magneton,https://scrapeme.live/wp-content/uploads/2018/08/082.png,191.00,152,"Magnet, Pokemon","Magnet, magneton, Sturdy","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball."
Farfetchd,https://scrapeme.live/wp-content/uploads/2018/08/083.png,185.00,158,"Pokemon, Wild Duck","farfetchd, Keen Eye, Wild Duck","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks."
Doduo,https://scrapeme.live/wp-content/uploads/2018/08/084.png,73.00,227,"Pokemon, Twin Bird","doduo, Run Away, Twin Bird","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains."
Dodrio,https://scrapeme.live/wp-content/uploads/2018/08/085.png,138.00,118,"Pokemon, Triple Bird","dodrio, Run Away, Triple Bird","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest."
Seel,https://scrapeme.live/wp-content/uploads/2018/08/086.png,164.00,250,"Pokemon, Sea Lion","Sea Lion, seel, Thick Fat","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head."
Dewgong,https://scrapeme.live/wp-content/uploads/2018/08/087.png,70.00,62,"Pokemon, Sea Lion","dewgong, Sea Lion, Thick Fat",Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
Grimer,https://scrapeme.live/wp-content/uploads/2018/08/088.png,147.00,201,"Pokemon, Sludge","grimer, Sludge, Stench",Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
Muk,https://scrapeme.live/wp-content/uploads/2018/08/089.png,187.00,220,"Pokemon, Sludge","muk, Sludge, Stench","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather."
Shellder,https://scrapeme.live/wp-content/uploads/2018/08/090.png,138.00,23,"Bivalve, Pokemon","Bivalve, Shell Armor, shellder","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
Cloyster,https://scrapeme.live/wp-content/uploads/2018/08/091.png,199.00,39,"Bivalve, Pokemon","Bivalve, cloyster, Shell Armor","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system."
Gastly,https://scrapeme.live/wp-content/uploads/2018/08/092.png,179.00,151,"Gas, Pokemon","Gas, gastly, Levitate","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind."
Haunter,https://scrapeme.live/wp-content/uploads/2018/08/093.png,42.00,181,"Gas, Pokemon","Gas, haunter, Levitate","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
Gengar,https://scrapeme.live/wp-content/uploads/2018/08/094.png,149.00,159,"Pokemon, Shadow","gengar, Levitate, Shadow","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow."
Onix,https://scrapeme.live/wp-content/uploads/2018/08/095.png,37.00,286,"Pokemon, Rock Snake","onix, Rock Head, Rock Snake","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother."
Drowzee,https://scrapeme.live/wp-content/uploads/2018/08/096.png,40.00,253,"Hypnosis, Pokemon","drowzee, Hypnosis, Insomnia","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils."
Hypno,https://scrapeme.live/wp-content/uploads/2018/08/097.png,198.00,222,"Hypnosis, Pokemon","hypno, Hypnosis, Insomnia","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum."
Krabby,https://scrapeme.live/wp-content/uploads/2018/08/098.png,64.00,147,"Pokemon, River Crab","krabby, River Crab, Shell Armor","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory."
Kingler,https://scrapeme.live/wp-content/uploads/2018/08/099.png,72.00,271,"Pincer, Pokemon","kingler, Pincer, Shell Armor","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires."
Voltorb,https://scrapeme.live/wp-content/uploads/2018/08/100.png,189.00,245,"Ball, Pokemon","Ball, Static, voltorb",Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.
Electrode,https://scrapeme.live/wp-content/uploads/2018/08/101.png,100.00,230,"Ball, Pokemon","Ball, electrode, Static",One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
Exeggcute,https://scrapeme.live/wp-content/uploads/2018/08/102.png,126.00,144,"Egg, Pokemon","Chlorophyll, Egg, exeggcute","This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
Exeggutor,https://scrapeme.live/wp-content/uploads/2018/08/103.png,68.00,292,"Coconut, Pokemon","Chlorophyll, Coconut, exeggutor","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute."
Cubone,https://scrapeme.live/wp-content/uploads/2018/08/104.png,177.00,242,"Lonely, Pokemon","cubone, Lonely, Rock Head","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds."
Marowak,https://scrapeme.live/wp-content/uploads/2018/08/105.png,36.00,295,"Bone Keeper, Pokemon","Bone Keeper, marowak, Rock Head",Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
Hitmonlee,https://scrapeme.live/wp-content/uploads/2018/08/106.png,73.00,269,"Kicking, Pokemon","hitmonlee, Kicking, Limber","Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
